Words,#
に,7088
は,6027
だ,5382
か,4760
が,4613
も,3906
と,3733
な,3487
で,3121
を,3112
よ,2880
ない,2757
ん,2749
って,2325
から,2283
ね,2203
そう,1500
お,1306
じゃ,1239
けど,1210
何,1161
こと,1149
です,1093
クマ,861
いい,856
それ,839
事,779
私,753
あ,710
よう,706
さん,688
さ,658
この,637
たら,600
もう,589
人,583
あの,548
菜々子,545
お前,537
気,500
俺,495
先輩,488
なん,480
その,471
なら,469
これ,451
上,450
今日,441
ある,436
鳴,424
いう,415
ちゃん,414
まで,411
ば,410
だろ,410
や,406
だけ,396
どう,393
ら,389
ここ,388
い,387
今,384
わ,380
ねー,364
僕,363
だった,333
ねえ,330
そんな,317
また,311
誰,309
話,303
雪子,300
ちょっと,299
っ,299
～,298
たい,295
自分,294
んです,291
後,290
無い,290
オレ,285
なんて,282
こんな,278
なかった,277
たち,272
ス,271
みんな,268
ました,262
みたい,260
ませ,259
あたし,256
くん,255
一緒,249
なる,244
時,244
思う,243
じゃあ,240
テレビ,231
直,231
まだ,230
前,229
もの,228
子,228
中,224
家,223
少し,219
いつ,215
りせ,215
日,214
でしょ,211
言う,210
じゃん,207
見,206
なくて,204
あー,202
斗,201
なってて,199
目,198
きた,197
やってて,196
なく,196
事件,193
あれ,191
千枝,191
方,190
だろう,190
にした,188
霧,187
ごめん,187
へ,186
ぞ,186
言ってて,186
犯人,185
うん,184
ま,182
っス,182
なった,179
一,179
いる,179
す,178
より,175
力,171
もん,169
堂島,166
行く,165
好き,165
よく,162
確か,161
だし,160
顔,158
陽介,157
来た,156
父,156
先生,156
なさい,155
完二,153
一人,152
れる,151
そ,151
あなた,148
来て,147
そっ,146
しか,146
いた,146
同じ,145
くる,144
意味,144
笑ってている,144
時間,143
すぐ,142
ねぇ,142
まあ,142
もし,141
とこ,141
くれ,141
違う,141
者,141
う,140
ずっと,140
いや,139
ああ,138
なんでで,138
ため,138
なぁ,137
世界,136
ありがとう,135
きっと,134
学校,133
天城,133
どこ,130
こう,130
手,130
ぁ,130
見て,129
本当,129
分から,128
君,128
なっ,128
分かん,128
ホント,127
ほら,126
ダメ,126
ちゃった,125
でしょう,124
関係,124
町,124
１,123
ヤツ,123
大丈夫,122
にして,122
帰る,122
なー,121
明日,120
くれた,120
母,119
なきゃ,118
二人,118
やる,117
部,117
ず,116
もっと,116
ところ,115
知ら,115
ちゃんと,115
アンタ,115
あい,114
場所,113
思った,113
兄,113
分かった,113
えっと,113
放課,113
見た,112
とにかく,111
ご,110
つ,110
やっぱ,110
はい,110
結実,110
ください,109
がする,109
ないし,109
として,109
色々,109
あった,108
警察,108
一条,108
長瀬,108
行ってて,107
ちゃう,107
なんか,107
くれる,106
バカ,106
やっぱり,106
度,105
２,105
られ,104
わけ,103
ッ,103
こっち,102
山野,102
出,102
綾音,102
男,101
欲しい,101
でき,101
悪い,100
それで,100
はは,99
分かる,99
全然,99
出て,98
あり,97
マジ,97
小西,97
えっ,96
